year,annual_mean_c,annual_stationday_txk_max_c,annual_stationday_txk_p95_c,station_day_count,source_station_files,station_days_over_35c,unique_dates_over_35c,station_days_over_40c,unique_dates_over_40c,station_days_over_41c,unique_dates_over_41c,station_days_over_42c,unique_dates_over_42c
1978,7.79,33.4,24.9,210108,586,0.0,0,0.0,0,0.0,0,0.0,0
1979,7.72,34.0,25.8,210869,587,0.0,0,0.0,0,0.0,0,0.0,0
1980,7.63,35.3,24.7,211841,586,3.0,1,0.0,0,0.0,0,0.0,0
1981,8.19,34.0,25.8,208469,580,0.0,0,0.0,0,0.0,0,0.0,0
1982,8.9,36.2,27.6,207937,580,4.0,2,0.0,0,0.0,0,0.0,0
1983,9.04,40.0,28.5,208190,577,364.0,12,0.0,0,0.0,0,0.0,0
1984,7.97,37.8,25.0,206707,572,153.0,4,0.0,0,0.0,0,0.0,0
1985,7.42,37.8,26.0,204167,572,18.0,2,0.0,0,0.0,0,0.0,0
1986,7.93,37.5,27.0,204267,574,64.0,3,0.0,0,0.0,0,0.0,0
1987,7.44,35.0,25.3,203719,569,0.0,0,0.0,0,0.0,0,0.0,0
1988,9.06,35.4,25.8,204549,566,2.0,1,0.0,0,0.0,0,0.0,0
1989,9.47,37.3,26.8,204633,571,48.0,3,0.0,0,0.0,0,0.0,0
1990,9.49,37.7,27.0,204239,569,90.0,7,0.0,0,0.0,0,0.0,0
1991,8.35,37.8,27.1,202301,572,72.0,5,0.0,0,0.0,0,0.0,0
1992,9.37,39.3,27.9,202364,566,426.0,10,0.0,0,0.0,0,0.0,0
1993,8.47,34.4,26.2,203858,574,0.0,0,0.0,0,0.0,0,0.0,0
1994,9.7,39.0,29.2,205740,580,447.0,14,0.0,0,0.0,0,0.0,0
1995,8.9,37.3,28.4,208776,583,72.0,6,0.0,0,0.0,0,0.0,0
1996,7.2,35.1,26.0,206817,577,1.0,1,0.0,0,0.0,0,0.0,0
1997,8.89,35.1,27.2,202984,568,1.0,1,0.0,0,0.0,0,0.0,0
1998,9.06,38.6,26.8,206429,586,380.0,8,0.0,0,0.0,0,0.0,0
1999,9.49,36.2,27.4,206737,581,17.0,3,0.0,0,0.0,0,0.0,0
2000,9.87,38.0,27.0,200624,566,125.0,4,0.0,0,0.0,0,0.0,0
2001,9.02,36.6,27.5,194810,548,75.0,7,0.0,0,0.0,0,0.0,0
2002,9.56,38.3,27.0,187667,531,98.0,4,0.0,0,0.0,0,0.0,0
2003,9.38,40.2,30.1,180332,503,1602.0,23,4.0,3,0.0,0,0.0,0
2004,8.94,34.5,26.9,173331,513,0.0,0,0.0,0,0.0,0,0.0,0
2005,8.99,36.3,28.0,178617,511,30.0,5,0.0,0,0.0,0,0.0,0
2006,9.54,38.9,29.0,179345,512,430.0,11,0.0,0,0.0,0,0.0,0
2007,9.85,38.6,26.9,175187,499,192.0,2,0.0,0,0.0,0,0.0,0
2008,9.48,36.4,27.1,176791,496,6.0,2,0.0,0,0.0,0,0.0,0
2009,9.18,37.8,27.2,176413,487,102.0,2,0.0,0,0.0,0,0.0,0
2010,7.85,38.8,27.9,177192,488,456.0,9,0.0,0,0.0,0,0.0,0
2011,9.64,36.7,26.9,176870,490,18.0,4,0.0,0,0.0,0,0.0,0
2012,9.09,39.8,27.4,175571,485,300.0,6,0.0,0,0.0,0,0.0,0
2013,8.71,38.6,27.8,173628,482,393.0,11,0.0,0,0.0,0,0.0,0
2014,10.33,37.7,27.0,174276,479,70.0,5,0.0,0,0.0,0,0.0,0
2015,9.94,40.3,29.9,173292,478,1380.0,23,3.0,2,0.0,0,0.0,0
2016,9.55,37.9,27.9,173883,478,146.0,8,0.0,0,0.0,0,0.0,0
2017,9.58,37.2,27.8,173774,481,46.0,5,0.0,0,0.0,0,0.0,0
2018,10.45,39.5,30.2,173384,481,889.0,16,0.0,0,0.0,0,0.0,0
2019,10.28,41.2,29.6,171620,476,1073.0,15,18.0,2,3.0,1,0.0,0
2020,10.43,38.6,28.3,171699,476,511.0,11,0.0,0,0.0,0,0.0,0
2021,9.16,36.6,26.8,172231,475,44.0,4,0.0,0,0.0,0,0.0,0
2022,10.52,40.3,29.7,171752,475,1162.0,13,2.0,1,0.0,0,0.0,0
2023,10.63,38.8,28.9,170736,473,263.0,12,0.0,0,0.0,0,0.0,0
2024,10.89,36.5,28.9,171364,474,55.0,6,0.0,0,0.0,0,0.0,0
2025,10.03,39.3,28.4,170467,472,533.0,11,0.0,0,0.0,0,0.0,0
